User,Avg Fixation Duration,Success_Rate,Time_on_Task,Fixation_Count,Total Scanpath
p1,152.1,0.608695652,26,2647,425894.359
p3,329.68,0.47826087,10,1564,211030.467
p5,203.92,0.52173913,22,1222,308060.142
p7,248.33,0.565217391,16,2711,329796.118
p11,143.37,0.47826087,15,1152,186921.162
p13,294.12,0.434782609,35,5491,936609.948
p15,175.53,0.2173913,9,1007,136636.457
p17,265.64,0.434782609,14,1347,174723.642
p19,196.12,0.56521739,14,1847,225869.122
p21,297.45,0.434782609,16,2262,323198.095
p23,297.45,0.565217391,13,2262,323198.095
p25,326.91,0.565217391,34,4788,875934.649
p27,351.73,0.260869565,13,1614,257950.251
p31,136.63,0.391304348,14,410,87992.153
p33,200.24,0.47826087,22,2849,350796.155
p35,223.68,0.608695652,9,1018,123873.322
