User,Avg Fixation Duration,Success_Rate,Time_on_Task,Total Scanpath,Fixation_Count
p1,147.58,0.52173913,38,334228.44,2422
p3,309.1,0.391304348,50,976608.46,7967
p5,171.14,0.434782609,27,210346.13,1604
p7,226.705,0.086956522,20,263107.55,2467
p11,158.35,0.347826087,33,518608.35,3657
p13,260.32,0.391304348,27,723360.9,5025
p15,162.51,0.565217391,13,138931.11,1158
p17,270.37,0.608695652,22,339987.57,3345
p19,259.14,0.434782609,72,1492083.29,11294
p21,303.95,0.565217391,6,121749.29,1000
p23,241.2,0.391304348,58,1045774.96,8908
p25,279.85,0.347826087,39,811677.14,5772
p27,252.05,0.086956522,50,449181.23,3568
p31,161.76,0.52173913,44,603219.41,4210
p33,149.84,0.34782609,27,321753.78,2340
p35,212.83,0.47826087,37,379906.5,3763
