User,Avg Fixation Duration,Success_Rate,Time_on_Task,Fixation_Count
p1,152.1,0.608695652,26,2647
p3,329.68,0.47826087,10,1564
p5,203.92,0.52173913,22,1222
p7,248.33,0.565217391,16,2711
p11,143.37,0.47826087,15,1152
p13,294.12,0.434782609,35,5491
p15,175.53,0.2173913,9,1007
p17,265.64,0.434782609,14,1347
p19,196.12,0.56521739,14,1847
p21,297.45,0.434782609,16,2262
p23,297.45,0.565217391,13,2262
p25,326.91,0.565217391,34,4788
p27,351.73,0.260869565,13,1614
p31,136.63,0.391304348,14,410
p33,200.24,0.47826087,22,2849
p35,223.68,0.608695652,9,1018
