User,Avg Fixation Duration,Fixation_Count,Success_Rate,Time_on_Task
p2,149.64,1166,0.347826087,19
p4,186.29,605,0.391304348,12
p6,198.44,4297,0.869565217,26
p10,171.3,2131,0.608695652,17
p12,194.41,2333,0.304347826,17
p14,238.62,2234,0.52173913,15
p16,259.69,4840,0.52173913,28
p18,178.62,2485,0.739130435,21
p20,245.78,4349,0.391304348,30
p24,139.72,2522,0.565217391,32
p28,202.62,1023,0.52173913,10
p30,222.68,3895,0.391304348,23
p32,359.31,3130,0.304347826,21
p34,199.78,5707,0.608695652,38
p36,255.03,3486,0.434782609,21
