User,Avg Fixation Duration,Fixation_Count,Success_Rate,Time_on_Task,Total Scanpath
p2,149.64,1166,0.347826087,19,178873.14
p4,186.29,605,0.391304348,12,137502.71
p6,198.44,4297,0.869565217,26,549868.31
p10,171.3,2131,0.608695652,17,351797.16
p12,194.41,2333,0.304347826,17,280861.81
p14,238.62,2234,0.52173913,15,291355.86
p16,259.69,4840,0.52173913,28,712853.24
p18,178.62,2485,0.739130435,21,439638.31
p20,245.78,4349,0.391304348,30,486544.57
p24,139.72,2522,0.565217391,32,427496.45
p28,202.62,1023,0.52173913,10,174510.74
p30,222.68,3895,0.391304348,23,567952.51
p32,359.31,3130,0.304347826,21,425933.76
p34,199.78,5707,0.608695652,38,917590.06
p36,255.03,3486,0.434782609,21,411874.25
